year,platform,mau_millions,source,note
2014,Instagram,200.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2015,Instagram,400.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2016,Instagram,600.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2017,Instagram,800.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2018,Instagram,1000.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2019,Instagram,1082.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2020,Instagram,1221.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2021,Instagram,1393.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2022,Instagram,1628.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2023,Instagram,1740.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2024,Instagram,1910.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2014,Snapchat,100.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2015,Snapchat,200.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2016,Snapchat,301.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2017,Snapchat,187.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2018,Snapchat,190.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2019,Snapchat,218.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2020,Snapchat,265.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2021,Snapchat,319.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2022,Snapchat,375.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2023,Snapchat,397.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2024,Snapchat,443.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2018,TikTok,271.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2019,TikTok,508.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2020,TikTok,689.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2021,TikTok,1000.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2022,TikTok,1400.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2023,TikTok,1562.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2024,TikTok,1990.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2012,X (Twitter),185.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2013,X (Twitter),241.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2014,X (Twitter),288.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2015,X (Twitter),320.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2016,X (Twitter),319.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2017,X (Twitter),330.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2018,X (Twitter),336.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2019,X (Twitter),339.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2020,X (Twitter),353.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2021,X (Twitter),436.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2022,X (Twitter),450.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2023,X (Twitter),541.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2024,X (Twitter),557.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2012,YouTube,800.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2013,YouTube,1000.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2014,YouTube,1000.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2015,YouTube,1500.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2016,YouTube,1500.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2017,YouTube,1500.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2018,YouTube,1900.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2019,YouTube,2000.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2020,YouTube,2291.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2021,YouTube,2562.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2022,YouTube,2700.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2023,YouTube,2700.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2024,YouTube,2580.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
