year,platform,mau_millions,source,note
2012,Facebook,1056.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2013,Facebook,1230.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2014,Facebook,1393.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2015,Facebook,1591.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2016,Facebook,1860.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2017,Facebook,2129.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2018,Facebook,2320.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2019,Facebook,2498.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2020,Facebook,2797.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2021,Facebook,2912.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2022,Facebook,2963.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2023,Facebook,3049.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2024,Facebook,3070.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2012,Instagram,30.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
2013,Instagram,90.0,"Earnings reports officiels (Meta, ByteDance, Snap, X Corp) via DataReportal",MAU = Monthly Active Users - métrique officielle déclarée par les plateformes
